Questions,RESPONSES
where can i collect my admit card before exams?,they are virtually present on the erp in the examination section. students having no dues in slip will get their admit card from their respective class incharge.
when is the annual college fest held?,most probably in 4th week of february.
are freshers allowed to participate in events?,"yes, you can. one should never miss the opportunity to participate in the events."
do i need to pay fees to participate in events?,"no, you don't have to pay any fee for events."
"how do i showcase my talent (dance, singing, acting, art)?","you can approach the rock on club for activities related to dancing and singing (president: miss dipasha saxena). for art and painting, you may approach the panache club (president: miss saloni rajpoot)."
who are the faculty coordinators for clubs and events?,abhiruchi is responsible for organizing all events and managing clubs within the university. the coordinator of abhiruchi is mr. deepak mehra.
is saturday a working day?,"yes, for certain courses it is a working day (i.e., b.tech in all specializations, bca-ai/cc, and all master’s courses)"
do we get semester breaks or winter/summer vacations?,yeah! after end semester exams you will get your holidays. so chill and enjoy them.
when are semester-end holidays declared?,after the completion of the end-semester exams.
can i extend my hostel stay during vacation?,yes you can but don't forget to inform your respective hostel warden.
can i go home during weekdays if i have classes?,"yes, you may visit home during weekdays, even if you have classes."
what is the minimum attendance required to sit for exams?,according to the criteria 75% attendance is mandatory for sitting in exams.
where are the washrooms in the main building ab-3?,"washrooms are located on the ground floor. the girls’ washrooms are to the right of the main entrance, while the boys’ washrooms are to the left."
where is the notice board for important updates in ab-3?,"on the left side, inside the campus a digital notice board is there, at the main entrance of academic block-3."
are autos/cabs allowed inside campus?,"no, autos and cabs are not allowed in the campus."
can i play on the ground at night?,by keeping an eye on your safety...it is not allowed to play at night.
are e-books available in the library?,yes! e-books are available in the e-library. enjoy your reading.
can i borrow lab equipment from the department?,no you cannot and you are permitted to do all the practicals in the college mean time only.
is outside food delivery allowed in hostel?,"no, outside delivery of food is strictly prohibited."
are non-veg meals served in the mess?,"no, non-veg meals are not served in mess."
"if i am observing a fast, can i get meals at a different time?",yes the time for the students observing fast can vary from other students.
who should i contact to inform about my fasting meal request?,you should send your name to your respective mess dc in hostel by specifying the number of days you will be fasting.
can i store fruits or milk in the hostel fridge while fasting?,"if you wish to store food in the hostel fridge, please seek permission from the warden. alternatively, you may request the mess dc to keep it safely in the mess."
where can i get details of fee structure?,you can visit the official website of university https://www.invertisuniversity.ac.in/admission/fee-structure for fee structure of any course.
what are hostel rules for visitors?,"parents/guardians are not permitted to stay overnight with their ward, but they may visit and meet them during the daytime."
can i stay in hostel during semester break?,"yes if you are doing any internship in college then only you are allowed to stay in the hostel, else you are not allowed."
can i get diet food if i am sick?,yes you can but you have to write an application that should be signed by your respective warden and then hand over that application to the mess dc.
can i get extra furniture in my room?,"no, the furniture for all the students in all the rooms is same. so you cannot get extra furniture in your room."
can i bring my own mattress?,"yes, you may bring your own mattress as per your comfort. it would be advisable to inform your warden in advance, so that the existing mattress can be removed from your room."
who is the chief proctor?,mr. amritansh mishra is the chief proctor of your university and is responsible for discipline realted issues.
where i can complaint about the mess related issues?,"a mess committee has been established, and you can address any complaints to the mess dc. additionally, frequent meetings are organized by the director, mr. amitabh drona, where you can raise your concerns if they are not being addressed."
what is the attendance time of the hostel?,"attendance is usually taken at 9:00 pm and it is mandatory for everyone to be present. if you are unwell or have any other serious issue preventing your attendance, please inform your floor dc before 8:00 pm."
which things are not allowed inside the hostel?,"all electrical appliances except laptops and phones are strictly restricted. any harmful items, unpacked food items, and non-vegetarian food are also not allowed inside the hostel."
are there any prohibited items in hostel rooms?,"all electrical appliances except laptops and phones are strictly restricted. any harmful items, unpacked food items, and non-vegetarian food are also not allowed inside the hostel."
are there any prohibited items in hostel rooms?,"all electrical appliances except laptops and phones are strictly restricted. any harmful items, unpacked food items, and non-vegetarian food are also not allowed inside the hostel."
what things are banned in hostel premises?,"all electrical appliances except laptops and phones are strictly restricted. any harmful items, unpacked food items, and non-vegetarian food are also not allowed inside the hostel."
are there any fines if hostel rules are violated?,"if you break any hostel rule, a fine of ₹25,000 is imposed. if restricted items are found in your room, an additional fine of ₹5,000 is charged."
what are the punishments for disobeying hostel rules?,"if you break any hostel rule, a fine of ₹25,000 is imposed. if restricted items are found in your room, an additional fine of ₹5,000 is charged."
is there a daily/weekly hostel room inspection?,"hostel checking takes place whenever the warden finds something unusual or suspicious. in such cases, all the dcs are called, and they thoroughly check rooms, bags, and belongings."
what’s the schedule for hostel checking?,"hostel checking takes place whenever the warden finds something unusual or suspicious. in such cases, all the dcs are called, and they thoroughly check rooms, bags, and belongings."
when do wardens check hostel rooms?,"hostel checking takes place whenever the warden finds something unusual or suspicious. in such cases, all the dcs are called, and they thoroughly check rooms, bags, and belongings."
how is student life in the hostel?,"the hostel environment is really good, and seniors are very supportive, creating a friendly and comfortable atmosphere for everyone."
is the hostel environment friendly?,"the hostel environment is really good, and seniors are very supportive, creating a friendly and comfortable atmosphere for everyone."
how’s the living experience in the hostel?,"the hostel environment is really good, and seniors are very supportive, creating a friendly and comfortable atmosphere for everyone."
do students like the hostel food?,"the quality of food in the mess is good, though naturally it cannot be compared with home-cooked meals. that’s why many hostellers make friends with day scholars who often share homemade food."
is the food in the hostel good?,"the quality of food in the mess is good, though naturally it cannot be compared with home-cooked meals. that’s why many hostellers make friends with day scholars who often share homemade food."
how is the hostel mess food taste and hygiene?,"the quality of food in the mess is good, though naturally it cannot be compared with home-cooked meals. that’s why many hostellers make friends with day scholars who often share homemade food."
how are the hostel rooms maintained?,"the rooms are in decent condition. each room comes with an almirah, a bed, a study table and chair, and curtains on the windows."
are hostel rooms well maintained?,"the rooms are in decent condition. each room comes with an almirah, a bed, a study table and chair, and curtains on the windows."
how is the furniture and facility inside hostel rooms?,"the rooms are in decent condition. each room comes with an almirah, a bed, a study table and chair, and curtains on the windows."
what is the number of hostels in the university?,"there are a total of 10 hostels in the university. among them, 5 are girls’ hostels—kaveri, bhagirathi, narmada, and godavari. the remaining 5 are boys’ hostels—himalaya, aravalli, nilgiri, shivalik, and himgiri."
how many boys and girls hostels are available?,"there are a total of 10 hostels in the university. among them, 5 are girls’ hostels—kaveri, bhagirathi, narmada, and godavari. the remaining 5 are boys’ hostels—himalaya, aravalli, nilgiri, shivalik, and himgiri."
can students wear casual clothes like shorts in hostel?,"during college timings, students are not allowed to wear lowers or shorts. in the mess and campus area, jeans are mandatory. however, on sundays and official holidays, students are allowed to wear trousers in the mess and around the campus."
what clothing rules are there inside hostel?,"during college timings, students are not allowed to wear lowers or shorts. in the mess and campus area, jeans are mandatory. however, on sundays and official holidays, students are allowed to wear trousers in the mess and around the campus."
when can hostel students go out?,"generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
are outings permitted for hostellers?,"generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
which days are allowed for outing passes?,"generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
can students leave hostel campus regularly?,"generally, local outings are not allowed. in case of an emergency, students can write an application to the director sir for permission. on sundays, outings are allowed from 10:30 am to 5:00 pm."
are anti-ragging rules strict in hostel?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
what are the ragging rules inside hostel?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
can seniors rag juniors in hostel?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
is ragging allowed in hostel?,"yes, ragging is strictly prohibited in the hostel. seniors are very supportive and helpful. if any issue arises, students can complain to the dcs, the warden, or even the executive director."
what programs take place in hostel?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
are there any celebrations inside hostel?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
are cultural or fun events held for hostel students?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
what programs take place in hostel?,"several events are organized for hostellers such as janmashtami celebrations, hostel fresher’s party, holi, diwali, and the annual fest (where hostellers get to enjoy extended hours). many other festivals and cultural activities are also celebrated."
which is better: hostel or pg?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
is hostel life more beneficial than pg?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
why choose hostel instead of pg?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
should students prefer hostel or pg accommodation?,"both have pros and cons. hostel life is convenient as you don’t need to travel to college, and you get more involvement in campus activities. pg life may offer more freedom but less connection to campus life. the experience depends on personal preference, but you’ll understand it better once you live there."
who is eligible to be hostel dc?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
can any student become a hostel dc?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
what are the requirements for becoming a hostel dc?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
how are hostel dcs selected?,"any student from 2nd year to final year can apply for the dc role. from the applicants, cp sir conducts interviews and selects the dcs."
at what time should students return to hostel?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
in the evening, students are allowed outside only till 9:00 pm.
after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
is there any deadline for entering hostel at night?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
in the evening, students are allowed outside only till 9:00 pm.
after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
what is the hostel curfew timing?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
in the evening, students are allowed outside only till 9:00 pm.
after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
when should hostel students report back in the evening?,"hostel closes after 9:00 am and reopens at 3:00 pm once classes end.
in the evening, students are allowed outside only till 9:00 pm.
after 8:00 pm, girls are not allowed to go to the auditorium side where boys usually walk."
can i keep kettle or heater in my hostel room?,"no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
is iron/heating appliance allowed in hostel?,"no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
can students use electrical devices in hostel rooms?,"no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
are personal appliances permitted in hostel?,"no, electrical appliances such as kettles, heaters, or irons are strictly not allowed in hostel rooms."
is hostel kept clean regularly?,"the hostels are clean and hygienic, offering a peaceful environment with fresh air and greenery that feels calming. the housekeeping staff are polite and helpful, and you can request them to clean your room whenever required."
how often are hostels cleaned?,"the hostels are clean and hygienic, offering a peaceful environment with fresh air and greenery that feels calming. the housekeeping staff are polite and helpful, and you can request them to clean your room whenever required."
are cleaning staff available in hostel?,"the hostels are clean and hygienic, offering a peaceful environment with fresh air and greenery that feels calming. the housekeeping staff are polite and helpful, and you can request them to clean your room whenever required."
is hygiene maintained in hostel rooms and washrooms?,"the hostels are clean and hygienic, offering a peaceful environment with fresh air and greenery that feels calming. the housekeeping staff are polite and helpful, and you can request them to clean your room whenever required."
is there a washing machine or laundry room in hostel?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
can students wash clothes inside hostel?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
are laundry services provided in hostel?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
do hostels have separate laundry facility?,"there is no permanent laundry facility inside the hostel. however, a laundry man visits on alternate days to wash and iron clothes properly."
is hostel secured with cctv cameras?,"the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
are there security guards at hostel gates?,"the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
is biometric entry available in hostel?,"the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
how safe is hostel in terms of security?,"the hostel is very secure, and students never feel unsafe. security guards are hardworking and alert, ensuring the safety of hostellers. biometric authentication is used for workers and guards, and cctv cameras are installed across the campus for monitoring."
can my friends visit my hostel room?,"visitors are allowed but can only sit in the warden’s office. in the girls’ hostels, only female relatives are allowed inside the rooms."
are parents allowed inside hostel?,"visitors are allowed but can only sit in the warden’s office. in the girls’ hostels, only female relatives are allowed inside the rooms."
can guests stay in hostel overnight?,"visitors are allowed but can only sit in the warden’s office. in the girls’ hostels, only female relatives are allowed inside the rooms."
what are the rules for visitors in hostel?,"visitors are allowed but can only sit in the warden’s office. in the girls’ hostels, only female relatives are allowed inside the rooms."
does hostel have a common reading hall?,"no, there is no separate study room in the hostel. students can, however, use the library for studies until 5:00 pm in the evening."
is there a place to study apart from rooms?,"no, there is no separate study room in the hostel. students can, however, use the library for studies until 5:00 pm in the evening."
can students use hostel library/study area?,"no, there is no separate study room in the hostel. students can, however, use the library for studies until 5:00 pm in the evening."
is a study lounge provided in hostel?,"no, there is no separate study room in the hostel. students can, however, use the library for studies until 5:00 pm in the evening."
is wi-fi available in hostel rooms?,"yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
how is the internet connection in hostel?,"yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
do students get free wi-fi in hostel?,"yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
what is the hostel wi-fi speed?,"yes, the hostel provides wi-fi. the speed is decent and sufficient for regular usage."
by what time should students report back to the hostel?,"attendance is usually taken at 9:00 pm and it is mandatory for everyone to be present. if you are unwell or have any other serious issue preventing your attendance, please inform your floor dc before 8:00 pm."
is there any fixed hostel attendance/roll-call time?,"attendance is usually taken at 9:00 pm and it is mandatory for everyone to be present. if you are unwell or have any other serious issue preventing your attendance, please inform your floor dc before 8:00 pm."
who should i approach for food quality complaints?,"a mess committee has been established, and you can address any complaints to the mess dc. additionally, frequent meetings are organized by the director, mr. amitabh drona, where you can raise your concerns if they are not being addressed."
is there a complaint register for mess issues?,"a mess committee has been established, and you can address any complaints to the mess dc. additionally, frequent meetings are organized by the director, mr. amitabh drona, where you can raise your concerns if they are not being addressed."
can i file mess complaints online?,"a mess committee has been established, and you can address any complaints to the mess dc. additionally, frequent meetings are organized by the director, mr. amitabh drona, where you can raise your concerns if they are not being addressed."
what is the role of the chief proctor in the university?,mr. amritansh mishra is the chief proctor of your university and is responsible for discipline realted issues.
who is responsible for discipline in the hostel and campus?,mr. amritansh mishra is the chief proctor of your university and is responsible for discipline realted issues.
where can i find details about the chief proctor’s office?,mr. amritansh mishra is the chief proctor of your university and is responsible for discipline realted issues.
are students allowed to use personal mattresses in hostel?,"yes, you may bring your own mattress as per your comfort. it would be advisable to inform your warden in advance, so that the existing mattress can be removed from your room."
can i replace the hostel mattress with my own?,"yes, you may bring your own mattress as per your comfort. it would be advisable to inform your warden in advance, so that the existing mattress can be removed from your room."
do we need warden’s permission to bring our own mattress?,"yes, you may bring your own mattress as per your comfort. it would be advisable to inform your warden in advance, so that the existing mattress can be removed from your room."
"is it possible to request an extra chair, table or cupboard?","no, the furniture for all the students in all the rooms is same. so you cannot get extra furniture in your room."
can i apply for additional hostel furniture?,"no, the furniture for all the students in all the rooms is same. so you cannot get extra furniture in your room."
who should i contact if i need more furniture in my room?,"no, the furniture for all the students in all the rooms is same. so you cannot get extra furniture in your room."
will the mess provide light or special food for sick students?,yes you can but you have to write an application that should be signed by your respective warden and then hand over that application to the mess dc.
can i request a bland diet if i am unwell?,yes you can but you have to write an application that should be signed by your respective warden and then hand over that application to the mess dc.
is there a system for serving medical diet food?,yes you can but you have to write an application that should be signed by your respective warden and then hand over that application to the mess dc.
is hostel accommodation open during vacation or holidays?,"yes if you are doing any internship in college then only you are allowed to stay in the hostel, else you are not allowed."
can students apply to stay back in hostel during semester break?,"yes if you are doing any internship in college then only you are allowed to stay in the hostel, else you are not allowed."
do we have to pay extra to stay during semester holidays?,"yes if you are doing any internship in college then only you are allowed to stay in the hostel, else you are not allowed."
are parents or relatives allowed to visit students in the hostel?,"parents/guardians are not permitted to stay overnight with their ward, but they may visit and meet them during the daytime."
what are the timings for visitors in the hostel?,"parents/guardians are not permitted to stay overnight with their ward, but they may visit and meet them during the daytime."
are visitors permitted inside hostel rooms?,"parents/guardians are not permitted to stay overnight with their ward, but they may visit and meet them during the daytime."
how can i check the complete fee structure of my course?,you can visit the official website of university https://www.invertisuniversity.ac.in/admission/fee-structure for fee structure of any course.
who should i contact for fee-related queries?,you can visit the official website of university https://www.invertisuniversity.ac.in/admission/fee-structure for fee structure of any course.
is the fee structure available online?,you can visit the official website of university https://www.invertisuniversity.ac.in/admission/fee-structure for fee structure of any course.
do i need permission to keep personal items in the fridge?,"if you wish to store food in the hostel fridge, please seek permission from the warden. alternatively, you may request the mess dc to keep it safely in the mess."
are students allowed to use hostel refrigerators for storing personal items?,"if you wish to store food in the hostel fridge, please seek permission from the warden. alternatively, you may request the mess dc to keep it safely in the mess."
do i need permission to keep personal items in the fridge?,"if you wish to store food in the hostel fridge, please seek permission from the warden. alternatively, you may request the mess dc to keep it safely in the mess."
whom should i approach in the mess for special fasting meals?,you should send your name to your respective mess dc in hostel by specifying the number of days you will be fasting.
do i need to inform the warden about my fasting request?,you should send your name to your respective mess dc in hostel by specifying the number of days you will be fasting.
who approves requests for meal changes during fasting?,you should send your name to your respective mess dc in hostel by specifying the number of days you will be fasting.
will the mess provide food at special timings during fasting?,yes the time for the students observing fast can vary from other students.
can i request meals at early morning or late evening if i am fasting?,yes the time for the students observing fast can vary from other students.
are arrangements made for students who are fasting?,yes the time for the students observing fast can vary from other students.
does the hostel mess provide non-vegetarian food?,"no, non-veg meals are not served in mess."
on which days is non-veg served in the mess?,"no, non-veg meals are not served in mess."
are both veg and non-veg options available in meals?,"no, non-veg meals are not served in mess."
can students order food online and get it delivered inside the hostel?,"no, outside delivery of food is strictly prohibited."
are swiggy/zomato deliveries permitted in the hostel?,"no, outside delivery of food is strictly prohibited."
can food parcels from outside restaurants be brought into hostel?,"no, outside delivery of food is strictly prohibited."
are students allowed to take lab equipment outside the lab?,no you cannot and you are permitted to do all the practicals in the college mean time only.
what is the procedure for borrowing lab instruments?,no you cannot and you are permitted to do all the practicals in the college mean time only.
do we need permission to take equipment from the department lab?,no you cannot and you are permitted to do all the practicals in the college mean time only.
does the library provide access to digital or e-books?,yes! e-books are available in the e-library. enjoy your reading.
can students download or read e-books from the library?,yes! e-books are available in the e-library. enjoy your reading.
is there an online library portal for e-books?,yes! e-books are available in the e-library. enjoy your reading.
is the playground open in the evening and night hours?,by keeping an eye on your safety...it is not allowed to play at night.
are sports activities allowed after sunset?,by keeping an eye on your safety...it is not allowed to play at night.
can ola/uber enter the campus premises?,"no, autos and cabs are not allowed in the campus."
is private vehicle entry permitted inside campus?,"no, autos and cabs are not allowed in the campus."
do students need to get down at the main gate for cabs?,"no, autos and cabs are not allowed in the campus."
on which floor is the notice board located in ab-3?,"on the left side, inside the campus a digital notice board is there, at the main entrance of academic block-3."
where can i find exam and event notices in ab-3 building?,"on the left side, inside the campus a digital notice board is there, at the main entrance of academic block-3."
is there a digital notice board in ab-3?,"on the left side, inside the campus a digital notice board is there, at the main entrance of academic block-3."
on which floors are the restrooms located in ab-3?,"washrooms are located on the ground floor. the girls’ washrooms are to the right of the main entrance, while the boys’ washrooms are to the left."
is there a separate washroom for boys and girls in ab-3?,"washrooms are located on the ground floor. the girls’ washrooms are to the right of the main entrance, while the boys’ washrooms are to the left."
how can i find the nearest washroom in ab-3 block?,"washrooms are located on the ground floor. the girls’ washrooms are to the right of the main entrance, while the boys’ washrooms are to the left."
what happens if my attendance is below the required percentage?,according to the criteria 75% attendance is mandatory for sitting in exams.
is 75% attendance compulsory for appearing in exams?,according to the criteria 75% attendance is mandatory for sitting in exams.
how many classes should i attend to be eligible for exams?,according to the criteria 75% attendance is mandatory for sitting in exams.
do i need permission to leave hostel on working days?,"yes, you may visit home during weekdays, even if you have classes."
